idBP,size,size_value
75,Средний,100-199 м2
132,Большой,500-1999 м2
146,Малый,10-99 м2
150,Малый,10-99 м2
163,Малый,10-99 м2
164,Малый,10-99 м2
184,Малый,10-99 м2
189,Малый,10-99 м2
203,Большой,500-1999 м2
204,Большой,2000-4999 м2
205,Большой,500-1999 м2
206,Малый,10-99 м2
208,Большой,500-1999 м2
210,Большой,Более 8000 м2
212,Малый,10-99 м2
219,Малый,10-99 м2
224,Малый,10-99 м2
262,Средний,100-199 м2
270,Малый,10-99 м2
274,Малый,10-99 м2
283,Малый,10-99 м2
301,Малый,10-99 м2
323,Малый,10-99 м2
329,Средний,200-499 м2
347,Малый,10-99 м2
352,Малый,10-99 м2
366,Малый,10-99 м2
370,Большой,2000-4999 м2
371,Большой,500-1999 м2
372,Средний,200-499 м2
373,Средний,200-499 м2
375,Большой,500-1999 м2
381,Средний,200-499 м2
382,Малый,10-99 м2
386,Малый,10-99 м2
387,Малый,10-99 м2
388,Малый,10-99 м2
390,Малый,10-99 м2
403,Малый,10-99 м2
405,Малый,10-99 м2
408,Малый,10-99 м2
410,Средний,200-499 м2
412,Малый,10-99 м2
413,Малый,10-99 м2
418,Средний,200-499 м2
420,Малый,10-99 м2
424,Малый,10-99 м2
428,Малый,10-99 м2
429,Малый,10-99 м2
431,Малый,10-99 м2
436,Малый,10-99 м2
437,Малый,10-99 м2
442,Малый,10-99 м2
448,Малый,10-99 м2
450,Большой,2000-4999 м2
454,Малый,10-99 м2
458,Малый,10-99 м2
461,Средний,200-499 м2
462,Малый,10-99 м2
464,Малый,10-99 м2
467,Малый,10-99 м2
473,Средний,100-199 м2
494,Малый,10-99 м2
508,Малый,10-99 м2
510,Малый,10-99 м2
511,Средний,200-499 м2
530,Малый,10-99 м2
536,Малый,10-99 м2
548,Малый,10-99 м2
553,Средний,200-499 м2
557,Малый,10-99 м2
564,Малый,10-99 м2
565,Малый,10-99 м2
567,Средний,100-199 м2
568,Средний,100-199 м2
573,Малый,10-99 м2
581,Малый,10-99 м2
582,Малый,10-99 м2
585,Малый,10-99 м2
586,Средний,100-199 м2
588,Малый,10-99 м2
591,Малый,10-99 м2
592,Малый,10-99 м2
597,Средний,100-199 м2
609,Средний,200-499 м2
611,Малый,10-99 м2
613,Малый,10-99 м2
616,Средний,100-199 м2
637,Средний,100-199 м2
650,Малый,10-99 м2
656,Большой,2000-4999 м2
657,Большой,5000-7999 м2
658,Большой,5000-7999 м2
680,Малый,10-99 м2
687,Малый,10-99 м2
693,Малый,10-99 м2
718,Средний,100-199 м2
723,Малый,10-99 м2
737,Малый,10-99 м2
739,Малый,10-99 м2
801,Малый,10-99 м2
816,Средний,200-499 м2
818,Малый,10-99 м2
825,Большой,500-1999 м2
827,Малый,10-99 м2
833,Малый,10-99 м2
836,Малый,10-99 м2
838,Малый,10-99 м2
839,Малый,10-99 м2
