id,idBP,idFilial,visit_date,calc_share,visits_count,calls_count
0,63936,4,01.08.2015,,0,1
1,5339,6,01.08.2015,,1,0
2,62341,10,01.08.2015,,0,1
3,64341,10,01.08.2015,,1,0
4,67239,10,01.08.2015,,1,0
5,67344,10,01.08.2015,,0,1
6,69475,10,01.08.2015,,0,1
7,14262,11,01.08.2015,,0,1
8,702,12,01.08.2015,,0,1
9,1356,12,01.08.2015,,0,1
10,1489,12,01.08.2015,,0,1
11,1851,12,01.08.2015,,0,1
12,3149,12,01.08.2015,,0,1
13,3471,12,01.08.2015,,0,1
14,4776,12,01.08.2015,,0,1
15,4813,12,01.08.2015,,0,1
16,5138,12,01.08.2015,,0,1
17,5961,12,01.08.2015,,0,1
18,6235,12,01.08.2015,,0,1
19,14014,12,01.08.2015,,0,1
20,14125,12,01.08.2015,,0,1
21,59573,12,01.08.2015,,0,1
22,68442,12,01.08.2015,,0,1
23,69834,12,01.08.2015,,0,1
24,988,8,01.08.2015,,0,1
25,1510,8,01.08.2015,,0,1
26,3463,8,01.08.2015,,0,1
27,4738,8,01.08.2015,,0,1
28,5254,8,01.08.2015,,0,1
29,6408,8,01.08.2015,,0,1
30,6455,8,01.08.2015,,0,1
31,59715,8,01.08.2015,,0,1
32,60040,8,01.08.2015,,0,1
33,62207,8,01.08.2015,,0,1
34,62553,8,01.08.2015,,0,1
35,62728,8,01.08.2015,,0,1
36,63577,8,01.08.2015,,0,1
37,64143,8,01.08.2015,,0,1
38,64207,8,01.08.2015,,0,1
39,64384,8,01.08.2015,,0,1
40,64560,8,01.08.2015,,0,1
41,64700,8,01.08.2015,,0,1
42,64944,8,01.08.2015,,0,1
43,65350,8,01.08.2015,,0,1
44,65518,8,01.08.2015,,0,1
45,65890,8,01.08.2015,,0,1
46,66382,8,01.08.2015,,0,1
47,66785,8,01.08.2015,,0,1
48,67109,8,01.08.2015,,0,1
49,67159,8,01.08.2015,,0,1
50,68001,8,01.08.2015,,0,1
51,68103,8,01.08.2015,,0,1
52,68191,8,01.08.2015,,0,1
53,68639,8,01.08.2015,,0,1
54,68640,8,01.08.2015,,0,1
55,68879,8,01.08.2015,,0,1
56,66376,10,02.08.2015,,1,0
57,60500,11,02.08.2015,,1,0
