id,wk,N wk,idFilial,KanalDB,idSubGrp,value
0,201401,1,9,2,3,3560.0
1,201402,2,9,2,3,7120.0
2,201403,3,9,2,3,57672.0
3,201404,4,9,2,3,37380.0
4,201405,5,9,2,3,80990.0
5,201406,6,9,2,3,-8900.0
6,201407,7,9,2,3,131364.0
7,201408,8,9,2,3,67818.0
8,201409,9,9,2,3,80100.0
9,201410,10,9,2,3,8544.0
10,201411,11,9,2,3,56604.0
11,201412,12,9,2,3,105020.0
12,201413,13,9,2,3,110894.0
13,201414,14,9,2,3,89000.0
14,201415,15,9,2,3,179780.0
15,201416,16,9,2,3,110716.0
16,201417,17,9,2,3,87220.0
17,201418,18,9,2,3,53400.0
18,201419,19,9,2,3,53400.0
19,201420,20,9,2,3,79210.0
20,201421,21,9,2,3,103062.0
21,201422,22,9,2,3,71200.0
22,201423,23,9,2,3,101104.0
23,201424,24,9,2,3,82770.0
24,201425,25,9,2,3,65860.0
25,201426,26,9,2,3,83660.0
26,201427,27,9,2,3,129050.0
27,201428,28,9,2,3,217516.0
28,201429,29,9,2,3,89712.0
29,201430,30,9,2,3,64080.0
30,201431,31,9,2,3,85440.0
31,201432,32,9,2,3,167320.0
32,201433,33,9,2,3,48060.0
33,201434,34,9,2,3,188680.0
34,201435,35,9,2,3,162336.0
35,201436,36,9,2,3,83660.0
36,201437,37,9,2,3,151300.0
37,201438,38,9,2,3,234604.0
38,201439,39,9,2,3,65860.0
39,201440,40,9,2,3,138840.0
40,201441,41,9,2,3,93450.0
41,201442,42,9,2,3,56960.0
42,201443,43,9,2,3,79210.0
43,201444,44,9,2,3,153080.0
44,201445,45,9,2,3,36045.0
45,201446,46,9,2,3,90780.0
46,201447,47,9,2,3,183340.0
47,201448,48,9,2,3,110805.0
48,201449,49,9,2,3,121040.0
49,201450,50,9,2,3,44500.0
50,201451,51,9,2,3,250980.0
51,201452,52,9,2,3,133500.0
52,201453,53,9,2,3,145960.0
53,201503,54,9,2,3,14240.0
54,201504,55,9,2,3,242792.0
55,201505,56,9,2,3,122820.0
56,201506,57,9,2,3,194020.0
57,201507,58,9,2,3,89356.0
58,201508,59,9,2,3,58740.0
59,201509,60,9,2,3,44500.0
60,201510,61,9,2,3,48060.0
61,201511,62,9,2,3,71111.0
62,201512,63,9,2,3,55180.0
63,201513,64,9,2,3,29370.0
64,201514,65,9,2,3,66750.0
65,201515,66,9,2,3,24920.0
66,201516,67,9,2,3,72713.0
67,201517,68,9,2,3,80812.0
68,201518,69,9,2,3,58740.0
69,201519,70,9,2,3,48060.0
70,201520,71,9,2,3,44500.0
71,201521,72,9,2,3,37380.0
72,201522,73,9,2,3,16020.0
73,201523,74,9,2,3,51620.0
74,201524,75,9,2,3,121040.0
75,201525,76,9,2,3,72980.0
76,201526,77,9,2,3,154504.0
77,201527,78,9,2,3,93094.0
78,201528,79,9,2,3,49840.0
79,201529,80,9,2,3,74760.0
80,201530,81,9,2,3,170880.0
81,201531,82,9,2,3,112140.0
82,201532,83,9,2,3,72980.0
83,201533,84,9,2,3,138840.0
84,201534,85,9,2,3,60520.0
85,201535,86,9,2,3,74760.0
86,201536,87,9,2,3,144180.0
87,201537,88,9,2,3,147740.0
88,201538,89,9,2,3,104130.0
89,201539,90,9,2,3,63190.0
90,201540,91,9,2,3,94340.0
91,201541,92,9,2,3,144180.0
92,201542,93,9,2,3,72980.0
93,201543,94,9,2,3,119260.0
94,201544,95,9,2,3,110360.0
95,201545,96,9,2,3,71200.0
96,201546,97,9,2,3,93450.0
97,201547,98,9,2,3,151300.0
98,201548,99,9,2,3,105020.0
99,201549,100,9,2,3,56960.0
100,201550,101,9,2,3,172660.0
101,201551,102,9,2,3,110360.0
102,201552,103,9,2,3,195800.0
103,201553,104,9,2,3,14240.0
104,201602,105,9,2,3,33820.0
105,201603,106,9,2,3,39605.0
106,201604,107,9,2,3,101460.0
107,201605,108,9,2,3,115700.0
108,201606,109,9,2,3,55180.0
109,201607,110,9,2,3,61588.0
110,201608,111,9,2,3,87220.0
111,201609,112,9,2,3,37380.0
112,201610,113,9,2,3,149520.0
113,201611,114,9,2,3,42720.0
114,201612,115,9,2,3,122820.0
115,201613,116,9,2,3,39160.0
116,201614,117,9,2,3,68085.0
117,201615,118,9,2,3,90780.0
118,201616,119,9,2,3,64080.0
119,201617,120,9,2,3,96120.0
120,201618,121,9,2,3,94340.0
121,201619,122,9,2,3,58740.0
122,201620,123,9,2,3,42720.0
123,201621,124,9,2,3,115700.0
124,201622,125,9,2,3,83660.0
125,201623,126,9,2,3,153525.0
126,201624,127,9,2,3,62300.0
127,201625,128,9,2,3,133500.0
128,201626,129,9,2,3,110360.0
129,201627,130,9,2,3,97010.0
130,201628,131,9,2,3,108580.0
131,201629,132,9,2,3,140620.0
132,201630,133,9,2,3,137060.0
133,201631,134,9,2,3,42275.0
134,201632,135,9,2,3,133500.0
135,201633,136,9,2,3,29370.0
136,201634,137,9,2,3,76540.0
137,201635,138,9,2,3,78320.0
138,201636,139,9,2,3,72980.0
139,201637,140,9,2,3,40940.0
140,201638,141,9,2,3,103240.0
141,201639,142,9,2,3,115700.0
142,201640,143,9,2,3,58740.0
143,201641,144,9,2,3,140620.0
144,201642,145,9,2,3,28925.0
145,201643,146,9,2,3,83660.0
146,201644,147,9,2,3,87220.0
147,201645,148,9,2,3,19580.0
148,201646,149,9,2,3,92560.0
149,201647,150,9,2,3,55180.0
150,201648,151,9,2,3,30260.0
151,201649,152,9,2,3,97900.0
152,201650,153,9,2,3,52866.0
153,201651,154,9,2,3,49840.0
154,201652,155,9,2,3,64080.0
155,201653,156,9,2,3,64080.0
156,201702,157,9,2,3,112140.0
157,201703,158,9,2,3,372020.0
158,201704,159,9,2,3,74760.0
159,201705,160,9,2,3,40940.0
160,201706,161,9,2,3,21360.0
161,201707,162,9,2,3,30260.0
162,201708,163,9,2,3,56960.0
163,201709,164,9,2,3,80990.0
164,201710,165,9,2,3,59630.0
165,201711,166,9,2,3,112140.0
166,201712,167,9,2,3,30260.0
167,201713,168,9,2,3,64080.0
168,201714,169,9,2,3,110360.0
169,201715,170,9,2,3,99502.0
170,201716,171,9,2,3,144180.0
171,201717,172,9,2,3,89000.0
172,201718,173,9,2,3,28480.0
173,201719,174,9,2,3,53845.0
174,201720,175,9,2,3,91670.0
175,201721,176,9,2,3,108580.0
176,201722,177,9,2,3,172660.0
177,201723,178,9,2,3,124600.0
178,201724,179,9,2,3,65860.0
179,201725,180,9,2,3,90780.0
180,201726,181,9,2,3,126380.0
181,201727,182,9,2,3,78320.0
182,201728,183,9,2,3,181560.0
183,201401,1,9,2,4,4608.0
184,201402,2,9,2,4,3456.0
185,201403,3,9,2,4,67584.0
186,201404,4,9,2,4,111936.0
187,201405,5,9,2,4,93696.0
188,201406,6,9,2,4,-16608.0
189,201407,7,9,2,4,110880.0
190,201408,8,9,2,4,40704.0
191,201409,9,9,2,4,12096.0
192,201410,10,9,2,4,38784.0
193,201411,11,9,2,4,53376.0
194,201412,12,9,2,4,143616.0
195,201413,13,9,2,4,28800.0
196,201414,14,9,2,4,62688.0
197,201415,15,9,2,4,76800.0
198,201416,16,9,2,4,63360.0
199,201417,17,9,2,4,53952.0
200,201418,18,9,2,4,24960.0
201,201419,19,9,2,4,33024.0
202,201420,20,9,2,4,97920.0
203,201421,21,9,2,4,100416.0
204,201422,22,9,2,4,11136.0
205,201423,23,9,2,4,41088.0
206,201424,24,9,2,4,41856.0
207,201425,25,9,2,4,58368.0
208,201426,26,9,2,4,17568.0
209,201427,27,9,2,4,66816.0
210,201428,28,9,2,4,114912.0
211,201429,29,9,2,4,68352.0
212,201430,30,9,2,4,22848.0
213,201431,31,9,2,4,49152.0
214,201432,32,9,2,4,54720.0
215,201433,33,9,2,4,22848.0
216,201434,34,9,2,4,128544.0
217,201435,35,9,2,4,55296.0
218,201436,36,9,2,4,11136.0
219,201437,37,9,2,4,111072.0
220,201438,38,9,2,4,43584.0
221,201439,39,9,2,4,55680.0
222,201440,40,9,2,4,54528.0
223,201441,41,9,2,4,66528.0
224,201442,42,9,2,4,20160.0
225,201443,43,9,2,4,35136.0
226,201444,44,9,2,4,36288.0
227,201445,45,9,2,4,24864.0
228,201446,46,9,2,4,42240.0
229,201447,47,9,2,4,77952.0
230,201448,48,9,2,4,62304.0
231,201449,49,9,2,4,61248.0
232,201450,50,9,2,4,6144.0
233,201451,51,9,2,4,114624.0
234,201452,52,9,2,4,55296.0
235,201453,53,9,2,4,83232.0
236,201503,54,9,2,4,42432.0
237,201504,55,9,2,4,148992.0
238,201505,56,9,2,4,82560.0
239,201506,57,9,2,4,31392.0
240,201507,58,9,2,4,55680.0
241,201508,59,9,2,4,24672.0
242,201509,60,9,2,4,20352.0
243,201510,61,9,2,4,20736.0
244,201511,62,9,2,4,68064.0
245,201512,63,9,2,4,44160.0
246,201513,64,9,2,4,17664.0
247,201514,65,9,2,4,57600.0
248,201515,66,9,2,4,29568.0
249,201516,67,9,2,4,45504.0
250,201517,68,9,2,4,80064.0
251,201518,69,9,2,4,43392.0
252,201519,70,9,2,4,26592.0
253,201520,71,9,2,4,15744.0
254,201521,72,9,2,4,27264.0
255,201522,73,9,2,4,57024.0
256,201523,74,9,2,4,15360.0
257,201524,75,9,2,4,58176.0
258,201525,76,9,2,4,45312.0
259,201526,77,9,2,4,140352.0
260,201527,78,9,2,4,141984.0
261,201528,79,9,2,4,28416.0
262,201529,80,9,2,4,41952.0
263,201530,81,9,2,4,65472.0
264,201531,82,9,2,4,68736.0
265,201532,83,9,2,4,51744.0
266,201533,84,9,2,4,116160.0
267,201534,85,9,2,4,37728.0
268,201535,86,9,2,4,39168.0
269,201536,87,9,2,4,81408.0
270,201537,88,9,2,4,75360.0
271,201538,89,9,2,4,54528.0
272,201539,90,9,2,4,104736.0
273,201540,91,9,2,4,64896.0
274,201541,92,9,2,4,-8352.0
275,201542,93,9,2,4,25344.0
276,201543,94,9,2,4,69888.0
277,201544,95,9,2,4,59232.0
278,201545,96,9,2,4,24192.0
279,201546,97,9,2,4,42144.0
280,201547,98,9,2,4,26880.0
281,201548,99,9,2,4,26112.0
282,201549,100,9,2,4,51936.0
283,201550,101,9,2,4,54912.0
284,201551,102,9,2,4,88224.0
285,201552,103,9,2,4,71136.0
286,201553,104,9,2,4,37440.0
287,201602,105,9,2,4,7296.0
288,201603,106,9,2,4,6912.0
289,201604,107,9,2,4,72576.0
290,201605,108,9,2,4,104064.0
291,201606,109,9,2,4,32256.0
292,201607,110,9,2,4,109248.0
293,201608,111,9,2,4,32448.0
294,201609,112,9,2,4,20736.0
295,201610,113,9,2,4,71040.0
296,201611,114,9,2,4,16896.0
297,201612,115,9,2,4,86016.0
298,201613,116,9,2,4,39552.0
299,201614,117,9,2,4,149760.0
300,201615,118,9,2,4,27648.0
301,201616,119,9,2,4,26496.0
302,201617,120,9,2,4,133152.0
303,201618,121,9,2,4,63936.0
304,201619,122,9,2,4,20352.0
305,201620,123,9,2,4,32640.0
306,201621,124,9,2,4,40704.0
307,201622,125,9,2,4,25344.0
308,201623,126,9,2,4,111456.0
309,201624,127,9,2,4,61632.0
310,201625,128,9,2,4,67968.0
311,201626,129,9,2,4,60288.0
312,201627,130,9,2,4,52608.0
313,201628,131,9,2,4,93216.0
314,201629,132,9,2,4,62208.0
315,201630,133,9,2,4,62208.0
316,201631,134,9,2,4,13824.0
317,201632,135,9,2,4,95232.0
318,201633,136,9,2,4,36672.0
319,201634,137,9,2,4,54144.0
320,201635,138,9,2,4,30624.0
321,201636,139,9,2,4,96192.0
322,201637,140,9,2,4,31680.0
323,201638,141,9,2,4,46944.0
324,201639,142,9,2,4,81888.0
325,201640,143,9,2,4,77184.0
326,201641,144,9,2,4,82560.0
327,201642,145,9,2,4,30624.0
328,201643,146,9,2,4,39936.0
329,201644,147,9,2,4,46848.0
330,201645,148,9,2,4,22272.0
